738,SZX,2,3800,356000,2,5,27.61,14.7,1.9,0.1,0.1,0.1,18.8,1.6,0.6,0.2,4.7,10.8,22.5,28.8,0.113,0.33799999999999997,0.9990000000000001,1.2209999999999999
738,XIY,2,3800,264000,2,5,27.61,14.7,1.9,0.1,0.1,0.1,18.8,1.6,0.6,0.2,4.7,10.8,22.5,28.8,0.113,0.33799999999999997,0.9990000000000001,1.2209999999999999
320,CKG,3,3800,318400,2,5,26.6,15.8,1.4,0.4,0.23,0.23,17.6,2.5,0.9,0.9,4.0,8.0,19.6,24.6,0.1011,0.29100000000000004,0.862,1.051
320,CKG,3,3800,318400,2,5,26.6,15.8,1.4,0.4,0.23,0.23,17.6,2.5,0.9,0.9,4.0,8.0,19.6,24.6,0.1011,0.29100000000000004,0.862,1.051
CR9,KWE,1,3200,167063,2,7,23.03,5.33,0.08,0.06,0.02,0.02,24.92,2.91,0.5,0.41,4.31,11.1,12.82,14.67,0.069,0.1681,0.4941,0.6042
320,PEK,3,3800,594000,2,5,26.6,15.8,1.4,0.4,0.23,0.23,17.6,2.5,0.9,0.9,4.0,8.0,19.6,24.6,0.1011,0.29100000000000004,0.862,1.051
320,PEK,3,3800,594000,2,5,26.6,15.8,1.4,0.4,0.23,0.23,17.6,2.5,0.9,0.9,4.0,8.0,19.6,24.6,0.1011,0.29100000000000004,0.862,1.051
CR9,XIY,2,3800,264000,2,7,23.03,5.33,0.08,0.06,0.02,0.02,24.92,2.91,0.5,0.41,4.31,11.1,12.82,14.67,0.069,0.1681,0.4941,0.6042
319,CTU,2,3600,366887,2,5,25.1,14.3,1.53,0.45,0.23,0.23,18.5,2.8,1.1,1.1,4.29,8.94,19.98,24.79,0.098,0.276,0.799,0.972
319,CTU,2,3600,366887,2,5,25.1,14.3,1.53,0.45,0.23,0.23,18.5,2.8,1.1,1.1,4.29,8.94,19.98,24.79,0.098,0.276,0.799,0.972
319,LXA,1,4000,39000,2,5,25.1,14.3,1.53,0.45,0.23,0.23,18.5,2.8,1.1,1.1,4.29,8.94,19.98,24.79,0.098,0.276,0.799,0.972
319,LXA,1,4000,39000,2,5,25.1,14.3,1.53,0.45,0.23,0.23,18.5,2.8,1.1,1.1,4.29,8.94,19.98,24.79,0.098,0.276,0.799,0.972
319,LXA,1,4000,39000,2,5,25.1,14.3,1.53,0.45,0.23,0.23,18.5,2.8,1.1,1.1,4.29,8.94,19.98,24.79,0.098,0.276,0.799,0.972
320,CGO,2,3600,178600,2,5,26.6,15.8,1.4,0.4,0.23,0.23,17.6,2.5,0.9,0.9,4.0,8.0,19.6,24.6,0.1011,0.29100000000000004,0.862,1.051
320,CGO,2,3600,178600,2,5,26.6,15.8,1.4,0.4,0.23,0.23,17.6,2.5,0.9,0.9,4.0,8.0,19.6,24.6,0.1011,0.29100000000000004,0.862,1.051
738,CKG,3,3800,318400,2,5,27.61,14.7,1.9,0.1,0.1,0.1,18.8,1.6,0.6,0.2,4.7,10.8,22.5,28.8,0.113,0.33799999999999997,0.9990000000000001,1.2209999999999999
73C,CKG,3,3800,318400,2,5,24.1,6.0,1.75,0.073,0.047,0.036000000000000004,30.1,3.4,0.9,0.9,4.1,8.7,16.7,19.4,0.11900000000000001,0.314,0.878,1.056
320,CTU,2,3600,366887,2,5,26.6,15.8,1.4,0.4,0.23,0.23,17.6,2.5,0.9,0.9,4.0,8.0,19.6,24.6,0.1011,0.29100000000000004,0.862,1.051
738,HGH,2,3600,290900,2,5,27.61,14.7,1.9,0.1,0.1,0.1,18.8,1.6,0.6,0.2,4.7,10.8,22.5,28.8,0.113,0.33799999999999997,0.9990000000000001,1.2209999999999999
