IATA,HC,CO,NOx,PM25,SO2,CO2
LNL,               1.798480,              19.627842,                   99.693,                1.6431,                 6.475,                  15303.340
LPF,               3.508512,              32.771381,                   45.704,                1.1390,                 4.372,                  10333.363
LUM,               4.887746,              50.876694,                  218.965,                3.6590,                16.197,                  38281.520
LXA,              28.140610,             294.528198,                 1357.862,               16.7461,                83.265,                 196792.812
LYA,              27.879311,             215.518936,                  276.993,                3.3028,                23.357,                  55202.828
LYG,               8.987247,              80.512314,                  392.972,                6.0219,                25.442,                  60130.289
LYI,              16.267155,             156.913956,                  584.531,                8.4532,                40.453,                  95608.656
LZH,               4.724990,              43.319931,                  220.598,                3.4223,                14.348,                  33910.770
LZO,               5.686865,              51.806244,                  248.756,                3.5191,                16.013,                  37845.211
LZY,               3.422431,              33.754860,                  135.793,                1.8091,                 9.712,                  22953.283
MDG,               2.448056,              19.619392,                  125.679,                1.7165,                 7.312,                  17281.977
MIG,              48.475487,             493.726624,                  740.436,               10.9144,                67.886,                 160445.672
MXZ,               2.526486,              22.666637,                   69.670,                1.2779,                 5.344,                  12629.402
NAO,               3.855536,              38.489708,                  128.952,                2.0002,                 9.182,                  21701.418
NAY,              14.088339,             144.350540,                  634.122,                9.6547,                40.946,                  96773.383
NBS,               5.972501,              42.385693,                  188.758,                2.0237,                11.094,                  26220.787
NDG,               1.060285,               8.531273,                   52.107,                0.6455,                 3.003,                   7097.954
NGB,              32.194775,             268.882141,                 1306.026,               17.5633,                81.766,                 193249.562
NGQ,               1.125500,              11.300663,                   33.493,                0.4330,                 2.535,                   5992.393
NKG,             167.834320,            1598.274902,                 4932.519,               61.4515,               329.700,                 779228.188
NLH,               0.511790,               4.727887,                   16.444,                0.2320,                 1.204,                   2845.607
NLT,               0.444127,               8.170890,                   17.006,                0.5125,                 1.759,                   4158.199
NNG,              57.977467,             525.517090,                 2280.212,               32.6701,               146.107,                 345317.219
NNY,               5.583187,              50.220325,                  203.070,                3.2975,                13.861,                  32760.285
NTG,              20.129368,             199.682495,                  732.052,               11.3911,                52.226,                 123433.117
NZH,               1.917472,              19.756044,                   46.557,                1.0359,                 4.120,                   9737.204
NZL,               0.144428,               3.882295,                   12.115,                0.2987,                 1.102,                   2605.395
OHE,               1.504285,               9.360037,                   46.612,                5.6055,                 2.991,                   7069.152
PEK,             761.228882,            6962.592773,                15834.569,              147.2735,              1019.908,                2410500.500
PKX,               0.000000,               0.000000,                    0.000,                0.0000,                 0.000,                      0.000
PVG,             235.249268,            2177.930176,                 6564.118,               74.2009,               423.577,                1001100.188
PZI,               4.781130,              44.345829,                  190.371,                2.4615,                13.236,                  31282.088
QSZ,               0.631055,              18.372183,                   44.801,                1.0727,                 4.183,                   9886.456
RHT,               0.684719,               3.750236,                   14.151,                0.1765,                 0.895,                   2114.406
RIZ,               5.208770,              54.664787,                  203.133,                3.3189,                14.295,                  33785.539
RKZ,               1.215464,              17.560844,                   43.888,                0.6732,                 3.781,                   8935.557
RLK,               2.429219,              25.063204,                   59.467,                1.2697,                 4.894,                  11565.991
RQA,               0.637204,              12.369296,                   46.126,                0.9630,                 3.552,                   8394.352
SHA,             233.487213,            2267.278564,                 8768.276,               91.2009,               496.393,                1173196.000
SHE,             100.200066,             992.402710,                 3028.559,               42.5113,               216.039,                 510595.125
SJW,              49.545902,             441.054718,                 1619.096,               25.0404,               110.151,                 260336.219
SQD,               3.150142,              30.273582,                  100.480,                1.7838,                 7.539,                  17818.906
SQJ,               1.717767,              11.703723,                   82.668,                0.8868,                 4.334,                  10242.558
SWA,              23.922199,             225.061188,                  901.129,               13.2193,                60.025,                 141865.438
SYM,               1.686855,              17.488495,                   79.076,                1.2593,                 5.707,                  13488.338
SYX,              61.878193,             497.011719,                 2167.631,               25.7997,               131.117,                 309887.406
