IATA,HC,CO,NOx,PM25,SO2,CO2
LZO,               7.096072,              72.059570,                   73.330,                0.9543,                12.331,                  29143.928
LZY,               5.369976,              52.422028,                   51.422,                0.7015,                 9.134,                  21586.826
MDG,               2.920209,              26.561289,                   36.860,                0.4239,                 5.573,                  13172.003
MIG,              51.026066,             544.915161,                  286.323,                3.5645,                58.352,                 137910.656
MXZ,               3.066841,              32.679722,                   22.719,                0.3126,                 4.186,                   9893.269
NAO,               4.890846,              52.529499,                   41.881,                0.5357,                 7.282,                  17210.180
NAY,              15.346123,             184.665512,                  203.417,                2.1508,                31.449,                  74326.875
NBS,               7.880646,              57.796417,                   51.283,                0.5725,                 7.954,                  18799.744
NDG,               1.361670,              11.366058,                   14.676,                0.1775,                 2.266,                   5354.500
NGB,              38.542850,             345.819946,                  375.970,                4.9076,                62.838,                 148512.969
NGQ,               1.119906,              11.456509,                    9.201,                0.1253,                 1.718,                   4060.854
NKG,             189.355865,            1864.763672,                 1464.919,               18.2698,               258.179,                 610193.250
NLH,               0.609034,               6.126224,                    5.578,                0.0689,                 0.969,                   2290.050
NLT,               0.565103,              12.165724,                    8.485,                0.0786,                 1.379,                   3258.921
NNG,              67.477600,             692.302185,                  695.695,                8.3456,               113.679,                 268675.719
NNY,               6.541176,              68.412231,                   61.703,                0.8333,                10.753,                  25412.959
NTG,              24.052404,             266.685242,                  236.598,                3.3174,                43.077,                 101809.117
NZH,               2.368023,              28.334919,                   18.388,                0.1991,                 3.326,                   7861.896
NZL,               0.181910,               5.556983,                    5.337,                0.0542,                 0.861,                   2034.691
OHE,               1.887426,              12.346945,                   11.286,                0.1323,                 1.766,                   4172.717
PEK,             803.126099,            7381.673828,                 4378.105,               47.6692,               792.546,                1873137.625
PKX,               0.000000,               0.000000,                    0.000,                0.0000,                 0.000,                      0.000
PVG,             267.234558,            2475.265869,                 1885.627,               23.0065,               331.704,                 783966.188
PZI,               5.882055,              56.945969,                   57.707,                0.7874,                10.174,                  24045.236
QSZ,               0.765946,              25.093761,                   20.735,                0.1897,                 3.336,                   7883.973
RHT,               0.850366,               5.045846,                    4.113,                0.0406,                 0.596,                   1408.012
RIZ,               6.463756,              79.122864,                   66.577,                0.8255,                11.446,                  27052.551
RKZ,               1.911802,              26.844776,                   19.478,                0.2509,                 3.816,                   9019.105
RLK,               2.938269,              35.590256,                   21.100,                0.2681,                 3.825,                   9041.166
RQA,               0.727978,              17.159084,                   18.683,                0.1686,                 2.775,                   6558.982
SHA,             259.031494,            2607.700195,                 2280.124,               24.5399,               369.232,                 872661.250
SHE,             113.577637,            1195.827148,                  940.941,               12.3882,               171.100,                 404385.094
SJW,              55.429466,             554.732910,                  507.828,                6.2371,                85.203,                 201372.172
SQD,               3.909047,              44.553413,                   34.435,                0.3891,                 6.023,                  14235.359
SQJ,               2.233237,              15.306808,                   22.065,                0.2564,                 3.233,                   7640.603
SWA,              28.052492,             294.648651,                  277.583,                3.4849,                46.958,                 110983.492
SYM,               2.023900,              27.555088,                   28.980,                0.3248,                 4.899,                  11577.701
SYX,              71.324394,             596.810608,                  606.966,                7.4543,                99.626,                 235460.125
SZX,             573.252625,            6169.848145,                 3405.519,               41.1041,               667.299,                1577124.000
TAO,             328.737701,            3148.284424,                 1703.978,               20.7380,               336.263,                 794739.125
TCG,               2.171937,              31.667973,                   15.831,                0.1772,                 2.873,                   6791.183
TCZ,               2.779824,              49.200935,                   43.795,                0.4693,                 7.630,                  18033.691
TEN,               5.140408,              48.910118,                   58.809,                0.7445,                 9.568,                  22613.602
TGO,               4.556573,              71.125885,                   59.043,                0.6044,                 9.483,                  22411.668
THQ,               0.085705,              13.041471,                   11.426,                0.0846,                 1.716,                   4056.125
TLQ,               2.388641,              47.716362,                   42.766,                0.4656,                 7.128,                  16847.160
TNA,             188.111328,            1866.305542,                 1479.102,               17.1202,               255.397,                 603617.812
TNH,               0.449912,               5.675333,                    5.156,                0.0649,                 0.904,                   2135.864
TSN,             103.633148,             958.208984,                  912.729,               10.7875,               147.942,                 349654.625
TVS,               2.641428,              43.088772,                   43.824,                0.5018,                 7.205,                  17029.369
TWC,               0.340341,              10.093130,                    9.333,                0.0826,                 1.443,                   3410.432
TXN,               7.583422,              62.143883,                   69.341,                0.7949,                10.746,                  25396.598
TYC,               0.016850,               2.579232,                    6.628,                0.0456,                 0.850,                   2009.751
TYN,              78.142982,             817.590698,                  787.234,                9.2187,               129.575,                 306244.531
UCB,               0.723881,               8.896637,                    7.887,                0.0944,                 1.351,                   3193.999
URC,             301.666504,            3217.240723,                 1655.186,               19.9100,               327.618,                 774306.375
UYN,              14.919206,             148.557648,                  131.696,                1.6477,                22.337,                  52791.820
WDS,               7.753958,              89.088547,                   90.446,                1.0181,                14.334,                  33877.668
WEF,               1.724158,              18.358490,                   26.707,                0.2798,                 3.895,                   9204.979
WEH,              11.700220,             118.585083,                  132.691,                1.6640,                21.696,                  51276.668
WGN,               1.606323,              21.754498,                   25.960,                0.2965,                 4.105,                   9701.410
WMT,               9.599310,              99.152107,                  107.861,                1.4406,                18.276,                  43195.406
WNH,               0.780565,               7.797524,                    8.285,                0.1258,                 1.522,                   3596.998
WNZ,              47.540497,             510.191132,                  520.151,                6.3815,                86.452,                 204324.406
WUA,               4.609173,              32.332848,                   33.509,                0.3717,                 4.976,                  11760.261
WUH,             108.910606,            1213.054199,                 1116.621,               12.9950,               185.354,                 438075.875
WUS,               5.314653,              57.503170,                   68.842,                0.7470,                10.700,                  25289.406
WUT,               3.609730,              37.131577,                   46.630,                0.5989,                 7.638,                  18051.354
